,model_name,fold_idx,accuracy
0,RandomForestClassifier,0,0.6746506986027944
1,RandomForestClassifier,1,0.6733266733266733
2,RandomForestClassifier,2,0.6653346653346653
3,RandomForestClassifier,3,0.6563436563436563
4,RandomForestClassifier,4,0.6623376623376623
5,LinearSVC,0,0.8862275449101796
6,LinearSVC,1,0.942057942057942
7,LinearSVC,2,0.9460539460539461
8,LinearSVC,3,0.936063936063936
9,LinearSVC,4,0.9280719280719281
10,MultinomialNB,0,0.7465069860279441
11,MultinomialNB,1,0.7512487512487512
12,MultinomialNB,2,0.7342657342657343
13,MultinomialNB,3,0.7032967032967034
14,MultinomialNB,4,0.7272727272727273
15,LogisticRegression,0,0.8153692614770459
16,LogisticRegression,1,0.8571428571428571
17,LogisticRegression,2,0.8591408591408591
18,LogisticRegression,3,0.8061938061938062
19,LogisticRegression,4,0.8331668331668332
